point-id,point-name,nature,point-x,point-y,demand,time-window-a,time-window-b,cost-t-a,cost-t-b,service-time
0,Depot,depot,4,4,0,0,0,0,0,0
1,Pickup_1,PP,2.55,0.89,2.4,4,23,0.6,3.0,1.4
2,Delivery_1,DD,7.11,1.51,-2.4,5,23,1.9,2.0,1.2
3,Pickup_2,PP,4.26,0.28,1.5,2,22,1.5,0.9,1.4
4,Delivery_2,DD,4.45,4.14,-1.5,3,21,0.1,3.2,0.8
5,Pickup_3,PP,4.07,3.99,5.2,5,29,0.8,0.4,1.4
6,Delivery_3,DD,4.86,4.32,-5.2,1,27,1.7,3.9,1.2
7,Pickup_4,PP,5.03,6.99,3.1,1,31,1.5,2.5,1.1
8,Delivery_4,DD,6.94,2.58,-3.1,3,31,0.1,2.5,1.2
9,Pickup_5,PP,5.05,3.71,7.5,2,25,1.2,1.5,1.1
10,Delivery_5,DD,3.59,4.37,-7.5,2,27,1.1,3.7,1.0
0,Depot,depot,4,4,0,0,0,0,0,0
