point-id,point-name,nature,point-x,point-y,demand,time-window-a,time-window-b,cost-t-a,cost-t-b,service-time
0,Depot,depot,4,4,0,0,0,0,0,0
1,Pickup_1,PP,2.24,4.68,1.7,4,28,0.8,3.1,1.4
2,Delivery_1,DD,4.71,4.77,-1.7,2,23,1.4,1.0,1.1
3,Pickup_2,PP,3.34,1.46,2.2,1,34,0.8,3.6,1.4
4,Delivery_2,DD,4.19,3.78,-2.2,0,33,1.8,0.4,1.0
5,Pickup_3,PP,3.38,3.85,9.3,4,29,0.5,3.4,1.2
6,Delivery_3,DD,5.17,3.38,-9.3,5,35,0.7,2.1,1.4
7,Pickup_4,PP,4.41,4.25,1.9,3,25,0.5,2.6,1.4
8,Delivery_4,DD,7.01,4.98,-1.9,2,31,0.5,2.9,1.4
9,Pickup_5,PP,4.27,7.24,7.6,3,21,0.7,1.6,1.1
10,Delivery_5,DD,3.81,3.09,-7.6,1,32,1.9,2.8,1.2
11,Pickup_6,PP,3.26,2.83,5.3,2,27,0.0,0.4,1.1
12,Delivery_6,DD,5.37,6.06,-5.3,5,24,0.9,1.4,1.3
13,Pickup_7,PP,4.38,4.67,2.0,2,20,1.7,1.8,1.3
14,Delivery_7,DD,3.89,3.51,-2.0,5,20,0.6,2.1,1.4
15,Pickup_8,PP,4.76,5.06,1.6,5,22,1.1,1.1,1.5
16,Delivery_8,DD,4.12,3.78,-1.6,0,26,0.8,3.4,1.3
17,Pickup_9,PP,3.78,4.32,5.0,4,20,1.5,0.2,1.1
18,Delivery_9,DD,5.16,3.74,-5.0,4,34,0.2,1.8,1.5
19,Pickup_10,PP,3.62,4.1,3.1,1,20,1.9,1.3,1.3
20,Delivery_10,DD,2.44,0.8,-3.1,4,31,1.6,1.4,0.9
21,Pickup_11,PP,2.45,0.95,3.8,2,30,1.7,1.2,1.0
22,Delivery_11,DD,3.04,0.69,-3.8,3,20,0.6,1.2,1.5
23,Pickup_12,PP,0.69,4.19,6.5,0,23,1.6,1.1,1.3
24,Delivery_12,DD,4.09,7.27,-6.5,3,24,0.4,3.3,1.3
25,Pickup_13,PP,3.66,4.54,2.3,1,31,1.5,0.7,1.5
26,Delivery_13,DD,4.8,7.36,-2.3,4,31,1.3,1.5,1.2
27,Pickup_14,PP,6.95,4.99,3.0,0,25,0.6,2.3,1.3
28,Delivery_14,DD,7.15,5.48,-3.0,2,35,0.0,3.4,0.9
29,Pickup_15,PP,3.1,4.49,3.0,5,23,0.6,1.8,1.3
30,Delivery_15,DD,7.17,6.35,-3.0,1,30,0.1,1.1,1.3
31,Pickup_16,PP,3.57,7.16,6.5,3,25,1.5,1.4,1.3
32,Delivery_16,DD,4.02,2.99,-6.5,2,29,0.6,2.4,1.1
33,Pickup_17,PP,3.73,0.78,2.0,5,28,0.8,0.8,0.8
34,Delivery_17,DD,4.22,4.24,-2.0,0,24,1.7,2.9,1.3
35,Pickup_18,PP,2.64,0.85,8.8,3,23,0.9,2.4,1.5
36,Delivery_18,DD,4.44,3.63,-8.8,5,29,1.4,3.9,1.3
37,Pickup_19,PP,4.15,3.56,3.4,1,30,1.5,2.6,1.1
38,Delivery_19,DD,4.93,3.91,-3.4,5,23,1.7,0.8,1.3
39,Pickup_20,PP,3.49,4.22,2.8,2,22,1.2,3.1,1.2
40,Delivery_20,DD,5.1,3.46,-2.8,4,20,0.3,1.7,1.4
0,Depot,depot,4,4,0,0,0,0,0,0
