point-id,point-name,nature,point-x,point-y,demand,time-window-a,time-window-b,cost-t-a,cost-t-b,service-time
0,Depot,depot,4,4,0,0,0,0,0,0
1,Pickup_1,PP,2.03,1.11,5.1,4,35,0.6,2.4,1.1
2,Delivery_1,DD,3.13,1.1,-5.1,3,26,1.9,1.5,1.0
3,Pickup_2,PP,4.33,3.95,2.3,1,26,0.2,0.2,1.2
4,Delivery_2,DD,7.26,4.35,-2.3,1,31,0.6,0.1,1.1
5,Pickup_3,PP,1.65,1.23,6.8,2,26,1.9,0.9,1.1
6,Delivery_3,DD,3.92,4.01,-6.8,4,31,1.5,1.9,0.9
7,Pickup_4,PP,3.38,7.82,4.7,1,28,1.2,1.1,1.3
8,Delivery_4,DD,7.04,5.42,-4.7,4,29,1.9,3.3,0.9
9,Pickup_5,PP,7.69,3.14,1.7,1,35,0.3,1.9,1.0
10,Delivery_5,DD,4.27,2.4,-1.7,3,29,1.1,3.0,1.0
11,Pickup_6,PP,0.56,4.88,2.8,4,31,1.3,3.2,0.9
12,Delivery_6,DD,3.05,4.89,-2.8,4,29,0.6,3.7,1.0
13,Pickup_7,PP,4.4,3.3,2.1,5,32,1.3,2.4,1.2
14,Delivery_7,DD,4.33,4.12,-2.1,2,31,2.0,2.3,1.0
15,Pickup_8,PP,2.1,4.78,2.7,0,35,0.2,3.9,1.5
16,Delivery_8,DD,3.44,4.19,-2.7,1,24,1.2,2.0,0.9
17,Pickup_9,PP,3.89,4.25,1.7,1,25,0.6,2.4,0.9
18,Delivery_9,DD,4.01,0.98,-1.7,3,23,0.8,0.2,1.3
19,Pickup_10,PP,3.77,3.32,10.2,0,24,1.6,0.9,1.3
20,Delivery_10,DD,3.89,3.98,-10.2,4,22,1.3,2.8,1.2
21,Pickup_11,PP,3.37,3.57,1.8,3,22,1.1,3.5,1.4
22,Delivery_11,DD,2.33,2.68,-1.8,5,30,1.6,4.0,1.1
23,Pickup_12,PP,3.97,4.02,2.3,2,27,0.9,3.0,1.0
24,Delivery_12,DD,3.52,4.43,-2.3,3,22,1.7,2.5,0.9
25,Pickup_13,PP,4.19,5.41,5.6,4,31,0.6,2.6,0.9
26,Delivery_13,DD,4.79,4.11,-5.6,2,30,0.3,0.0,1.2
27,Pickup_14,PP,4.39,2.97,9.7,3,27,0.4,1.6,0.9
28,Delivery_14,DD,6.99,4.41,-9.7,0,31,0.3,0.8,1.2
29,Pickup_15,PP,0.57,4.44,1.9,4,25,0.2,2.8,1.2
30,Delivery_15,DD,3.14,7.24,-1.9,4,20,0.7,0.6,1.1
31,Pickup_16,PP,0.32,4.82,2.2,4,23,1.6,1.5,1.0
32,Delivery_16,DD,3.4,3.37,-2.2,0,33,0.2,3.6,0.9
33,Pickup_17,PP,4.11,4.34,5.3,4,25,1.2,1.1,0.8
34,Delivery_17,DD,3.05,7.49,-5.3,2,23,1.2,1.6,0.9
35,Pickup_18,PP,7.64,3.24,3.2,1,34,0.2,3.5,1.5
36,Delivery_18,DD,4.94,3.66,-3.2,1,33,2.0,1.6,0.9
37,Pickup_19,PP,7.2,4.16,5.8,0,23,1.1,1.4,1.3
38,Delivery_19,DD,4.01,0.88,-5.8,2,28,0.8,2.7,1.4
39,Pickup_20,PP,4.14,3.84,2.0,0,28,1.7,3.0,1.4
40,Delivery_20,DD,4.11,7.06,-2.0,0,22,0.7,3.0,1.4
41,Pickup_21,PP,3.96,4.02,10.4,5,33,0.6,1.2,1.0
42,Delivery_21,DD,3.57,4.78,-10.4,4,22,1.8,2.9,1.4
43,Pickup_22,PP,4.47,4.62,1.8,4,23,0.3,2.0,1.0
44,Delivery_22,DD,6.86,5.67,-1.8,2,33,1.2,2.8,1.0
45,Pickup_23,PP,2.02,4.86,5.8,4,35,0.3,1.1,1.1
46,Delivery_23,DD,7.18,3.36,-5.8,5,24,1.9,1.4,0.8
47,Pickup_24,PP,3.78,4.0,6.2,4,24,0.1,2.8,0.8
48,Delivery_24,DD,6.85,5.91,-6.2,2,34,1.0,2.3,0.8
49,Pickup_25,PP,4.02,7.11,5.1,2,26,1.2,0.8,0.8
50,Delivery_25,DD,6.61,4.01,-5.1,3,25,0.6,2.7,0.9
51,Pickup_26,PP,4.18,0.27,10.5,4,20,1.6,1.0,1.0
52,Delivery_26,DD,3.82,4.42,-10.5,5,32,0.1,3.5,1.4
53,Pickup_27,PP,4.12,7.53,2.7,5,24,2.0,0.9,1.2
54,Delivery_27,DD,3.91,4.16,-2.7,3,21,1.4,2.2,1.0
55,Pickup_28,PP,4.14,6.97,4.9,1,28,1.6,1.0,1.1
56,Delivery_28,DD,4.49,7.31,-4.9,0,34,0.3,0.3,1.2
57,Pickup_29,PP,4.48,4.88,3.1,5,25,0.8,0.1,1.2
58,Delivery_29,DD,4.17,4.18,-3.1,4,21,0.1,0.8,1.4
59,Pickup_30,PP,4.8,2.71,3.2,4,35,1.7,2.4,1.2
60,Delivery_30,DD,6.99,5.36,-3.2,2,25,0.6,3.7,1.2
0,Depot,depot,4,4,0,0,0,0,0,0
