point-id,point-name,nature,point-x,point-y,demand,time-window-a,time-window-b,cost-t-a,cost-t-b,service-time
0,Depot,depot,4,4,0,0,0,0,0,0
1,Pickup_1,PP,4.2,4.19,4.3,3,23,1.3,4.0,1.0
2,Delivery_1,DD,0.58,5.32,-4.3,1,22,1.5,0.6,1.4
3,Pickup_2,PP,4.01,3.99,6.6,1,23,1.4,3.0,1.0
4,Delivery_2,DD,4.9,2.91,-6.6,4,33,0.3,1.3,1.0
5,Pickup_3,PP,4.12,3.48,3.3,1,31,0.3,3.4,0.9
6,Delivery_3,DD,6.9,5.06,-3.3,4,29,0.2,3.4,1.3
7,Pickup_4,PP,3.75,4.17,1.9,3,21,1.7,2.0,1.2
8,Delivery_4,DD,7.94,3.63,-1.9,1,35,0.6,1.3,1.4
9,Pickup_5,PP,7.01,6.63,3.2,1,26,0.4,3.9,1.4
10,Delivery_5,DD,4.03,3.65,-3.2,2,22,0.8,3.2,1.3
11,Pickup_6,PP,3.54,0.73,1.8,5,26,1.3,2.5,1.0
12,Delivery_6,DD,3.39,2.69,-1.8,0,31,0.8,0.4,1.4
13,Pickup_7,PP,7.39,4.09,1.5,4,24,1.1,3.8,0.8
14,Delivery_7,DD,3.38,4.41,-1.5,1,26,0.5,1.3,1.2
15,Pickup_8,PP,2.98,2.62,5.7,4,34,1.4,4.0,1.3
16,Delivery_8,DD,4.2,3.52,-5.7,1,35,1.6,0.1,1.4
17,Pickup_9,PP,3.92,3.58,8.4,1,34,0.2,1.3,1.2
18,Delivery_9,DD,6.98,2.25,-8.4,2,35,1.6,2.4,1.2
19,Pickup_10,PP,3.64,7.17,3.0,4,25,0.6,2.1,1.0
20,Delivery_10,DD,3.76,4.28,-3.0,3,21,1.2,3.5,1.2
21,Pickup_11,PP,4.4,3.68,8.7,5,32,1.4,2.7,1.1
22,Delivery_11,DD,4.09,3.41,-8.7,3,22,1.4,1.1,1.0
23,Pickup_12,PP,3.74,4.29,5.3,4,35,1.3,1.5,1.1
24,Delivery_12,DD,4.62,3.09,-5.3,3,26,1.9,0.9,1.0
25,Pickup_13,PP,4.6,7.18,2.0,2,33,1.4,3.7,1.2
26,Delivery_13,DD,4.66,3.48,-2.0,3,31,1.2,3.7,0.8
27,Pickup_14,PP,4.22,4.67,2.7,0,32,1.6,2.0,1.2
28,Delivery_14,DD,4.09,0.78,-2.7,3,20,1.3,1.1,0.9
29,Pickup_15,PP,6.94,3.02,0.8,2,25,0.2,2.7,0.9
30,Delivery_15,DD,3.66,4.07,-0.8,0,29,1.4,1.8,1.3
31,Pickup_16,PP,4.99,4.02,10.2,0,32,1.3,3.5,1.4
32,Delivery_16,DD,4.63,0.28,-10.2,0,22,1.8,2.8,1.1
33,Pickup_17,PP,3.07,1.04,3.2,2,27,1.6,3.3,1.1
34,Delivery_17,DD,7.44,3.89,-3.2,3,35,0.1,1.5,0.8
35,Pickup_18,PP,7.03,4.29,8.3,2,21,0.3,2.1,1.4
36,Delivery_18,DD,4.32,4.05,-8.3,5,30,1.7,3.1,1.2
37,Pickup_19,PP,4.09,3.58,11.8,4,21,1.8,1.0,1.5
38,Delivery_19,DD,4.67,0.45,-11.8,2,34,0.3,0.9,1.3
39,Pickup_20,PP,2.99,2.67,3.4,5,27,0.1,0.6,0.9
40,Delivery_20,DD,3.24,4.4,-3.4,5,33,1.4,1.1,1.1
41,Pickup_21,PP,3.86,4.09,3.3,4,27,1.6,0.9,1.4
42,Delivery_21,DD,7.32,3.19,-3.3,1,21,1.6,3.7,1.5
43,Pickup_22,PP,3.71,3.45,1.4,3,30,1.2,1.8,1.1
44,Delivery_22,DD,6.99,1.94,-1.4,0,35,0.0,3.2,1.2
45,Pickup_23,PP,0.66,3.85,2.6,2,34,0.8,3.4,1.3
46,Delivery_23,DD,4.02,0.42,-2.6,5,33,1.5,3.9,1.2
47,Pickup_24,PP,4.47,3.84,4.5,4,34,0.5,0.3,1.1
48,Delivery_24,DD,4.53,3.17,-4.5,0,33,1.7,3.9,1.1
49,Pickup_25,PP,3.89,4.69,0.7,0,32,0.1,1.9,1.2
50,Delivery_25,DD,3.89,3.97,-0.7,4,22,1.7,0.1,1.4
51,Pickup_26,PP,3.28,3.48,5.8,3,23,1.4,2.3,1.0
52,Delivery_26,DD,4.57,3.62,-5.8,2,25,0.0,1.8,0.9
53,Pickup_27,PP,3.42,4.05,4.1,4,29,0.5,0.7,0.9
54,Delivery_27,DD,5.17,1.13,-4.1,2,23,0.0,0.8,1.1
55,Pickup_28,PP,1.56,1.95,2.4,4,34,0.6,0.1,1.3
56,Delivery_28,DD,7.13,4.88,-2.4,3,26,1.2,1.9,1.4
57,Pickup_29,PP,5.05,3.29,2.7,0,26,1.9,3.7,0.8
58,Delivery_29,DD,4.35,4.07,-2.7,3,28,1.9,3.6,1.0
59,Pickup_30,PP,4.2,3.28,3.1,5,21,0.8,1.5,1.2
