point-id,point-name,nature,point-x,point-y,demand,time-window-a,time-window-b,cost-t-a,cost-t-b,service-time
0,Depot,depot,4,4,0,0,0,0,0,0
1,Pickup_1,PP,3.27,2.33,1.9,1,33,0.2,2.9,1.0
2,Delivery_1,DD,3.82,2.62,-1.9,0,29,1.8,3.5,1.2
3,Pickup_2,PP,5.11,7.14,5.5,0,23,0.3,1.4,1.3
4,Delivery_2,DD,3.99,4.33,-5.5,1,23,1.6,1.9,0.9
5,Pickup_3,PP,7.05,4.87,9.0,5,22,2.0,3.0,1.1
6,Delivery_3,DD,3.85,3.97,-9.0,2,20,1.0,2.7,1.2
7,Pickup_4,PP,7.13,3.81,4.5,1,20,1.5,3.7,0.9
8,Delivery_4,DD,3.44,3.66,-4.5,3,25,0.9,2.3,1.2
9,Pickup_5,PP,4.21,4.88,3.2,5,33,0.6,3.9,1.1
10,Delivery_5,DD,3.72,3.61,-3.2,2,30,2.0,3.2,1.0
11,Pickup_6,PP,4.97,0.74,1.5,5,35,1.3,2.9,1.4
12,Delivery_6,DD,4.33,5.96,-1.5,3,20,1.3,1.4,1.1
13,Pickup_7,PP,3.66,1.68,1.9,1,25,0.6,2.1,0.9
14,Delivery_7,DD,1.6,6.03,-1.9,3,34,1.9,0.2,1.0
15,Pickup_8,PP,0.04,4.25,3.7,5,29,0.2,0.4,1.2
16,Delivery_8,DD,3.03,3.87,-3.7,0,20,0.3,4.0,1.1
17,Pickup_9,PP,4.56,4.53,3.6,1,28,1.6,1.1,1.1
18,Delivery_9,DD,4.34,5.17,-3.6,4,23,1.7,3.3,1.3
19,Pickup_10,PP,6.95,6.01,2.7,5,29,1.0,2.7,1.3
20,Delivery_10,DD,1.1,5.56,-2.7,1,33,0.7,3.0,0.9
21,Pickup_11,PP,3.05,4.12,7.5,4,25,1.7,0.6,1.2
22,Delivery_11,DD,4.18,4.07,-7.5,0,28,1.0,3.8,1.0
23,Pickup_12,PP,4.68,3.44,4.3,1,31,1.5,3.1,0.9
24,Delivery_12,DD,3.92,4.15,-4.3,4,29,0.3,0.9,1.1
25,Pickup_13,PP,4.59,3.44,0.8,2,22,1.9,0.4,1.0
26,Delivery_13,DD,4.75,4.73,-0.8,5,27,1.3,3.1,1.0
27,Pickup_14,PP,4.61,2.35,1.6,0,35,0.8,0.5,1.1
28,Delivery_14,DD,3.87,0.34,-1.6,4,31,1.8,3.5,1.3
29,Pickup_15,PP,4.57,5.69,11.1,4,26,0.1,2.8,0.8
30,Delivery_15,DD,6.94,5.31,-11.1,4,28,0.3,3.6,1.2
31,Pickup_16,PP,5.08,6.14,4.5,1,28,1.7,2.1,1.0
32,Delivery_16,DD,4.62,5.65,-4.5,1,31,1.5,2.5,1.0
33,Pickup_17,PP,4.61,5.38,1.2,5,23,1.3,1.4,1.0
34,Delivery_17,DD,7.27,4.33,-1.2,2,26,1.6,1.9,1.4
35,Pickup_18,PP,2.27,0.98,5.1,1,27,0.5,2.3,1.0
36,Delivery_18,DD,4.39,3.2,-5.1,0,23,0.5,2.5,1.4
37,Pickup_19,PP,4.54,3.79,5.1,5,32,1.9,0.1,1.4
38,Delivery_19,DD,4.71,5.27,-5.1,5,24,1.4,3.0,1.1
39,Pickup_20,PP,4.6,3.41,1.8,1,26,1.3,3.5,0.9
40,Delivery_20,DD,7.78,4.79,-1.8,4,28,1.4,3.2,1.1
41,Pickup_21,PP,6.88,2.63,1.7,2,34,0.5,3.3,0.9
42,Delivery_21,DD,6.92,4.91,-1.7,5,21,0.3,1.8,1.0
43,Pickup_22,PP,3.76,7.12,1.9,3,24,0.8,3.8,1.2
44,Delivery_22,DD,7.11,3.9,-1.9,3,32,1.0,1.3,1.3
45,Pickup_23,PP,4.75,0.09,10.5,0,31,1.2,0.5,1.3
46,Delivery_23,DD,3.99,4.36,-10.5,4,34,1.2,3.7,1.4
47,Pickup_24,PP,5.11,6.11,3.4,1,22,0.7,2.4,1.5
48,Delivery_24,DD,2.11,4.49,-3.4,2,24,1.9,0.2,1.5
49,Pickup_25,PP,4.15,3.88,2.2,4,24,1.6,2.9,1.2
50,Delivery_25,DD,1.71,4.63,-2.2,5,23,1.8,1.7,0.9
51,Pickup_26,PP,0.68,3.53,1.9,5,27,1.8,3.6,1.1
52,Delivery_26,DD,4.36,0.74,-1.9,0,27,1.5,1.6,1.4
53,Pickup_27,PP,4.99,6.43,9.0,1,28,0.7,2.5,1.4
54,Delivery_27,DD,2.37,4.41,-9.0,3,31,0.7,3.8,0.9
55,Pickup_28,PP,4.68,7.1,2.1,2,23,0.2,3.2,1.2
56,Delivery_28,DD,4.81,4.78,-2.1,4,32,1.8,0.8,1.1
57,Pickup_29,PP,3.85,3.94,5.0,2,31,0.9,0.2,1.2
58,Delivery_29,DD,4.01,4.02,-5.0,2,31,1.0,1.1,1.2
59,Pickup_30,PP,1.65,3.05,7.6,4,21,1.3,1.8,1.5
60,Delivery_30,DD,3.52,2.75,-7.6,4,25,1.1,0.9,0.9
61,Pickup_31,PP,4.52,7.23,1.9,2,31,0.2,2.7,1.0
62,Delivery_31,DD,7.12,3.5,-1.9,4,32,0.8,0.7,1.2
63,Pickup_32,PP,4.47,5.31,5.8,4,33,1.8,0.3,1.0
